city;identifier;name;name_vi;lat;lon
an-giang;district-an-giang-chau-thanh;Chau Thanh;Châu Thành;0;0
an-giang;district-an-giang-cho-moi;Cho Moi;Chợ Mới;0;0
an-giang;district-an-giang-phu-tan;Phu Tan;Phú Tân;0;0
an-giang;district-an-giang-tan-chau;Tan Chau;Tân Châu;0;0
an-giang;district-an-phu;An Phu;An Phú;0;0
an-giang;district-chau-doc;Chau Doc;Châu Đốc;0;0
an-giang;district-chau-phu;Chau Phu;Châu Phú;0;0
an-giang;district-long-xuyen;Long Xuyen;Long Xuyên;0;0
an-giang;district-sadec;Sadec;Sadec;0;0
an-giang;district-thoai-son;Thoai Son;Thoại Sơn;0;0
an-giang;district-tinh-bien;Tinh Bien;Tịnh Biên;0;0
an-giang;district-tri-ton;Tri Ton;Tri Tôn;0;0
bac-giang;district-bac-giang;Bac Giang;Bắc Giang;0;0
bac-giang;district-hiep-hoa;Hiep Hoa;Hiệp Hòa;0;0
bac-giang;district-lang-giang;Lang Giang;Lạng Giang;0;0
bac-giang;district-luc-nam;Luc Nam;Lục Nam;0;0
bac-giang;district-luc-ngan;Luc Ngan;Lục Ngạn;0;0
bac-giang;district-son-dong;Son Dong;Sơn Động;0;0
bac-giang;district-tan-yen;Tan Yen;Tân Yên;0;0
bac-giang;district-viet-yen;Viet Yen;Việt Yên;0;0
bac-giang;district-yen-dung;Yen Dung;Yên Dũng;0;0
bac-giang;district-yen-the;Yen The;Yên Thế;0;0
bac-kan;district-ba-be;Ba Be;Ba Bể;0;0
bac-kan;district-bach-thong;Bach Thong;Bạch Thông;0;0
bac-kan;district-bac-kan;Bac Kan;Bắc Kạn;0;0
bac-kan;district-bac-kan-cho-moi;Cho Moi;Chợ Mới;0;0
bac-kan;district-cho-don;Cho Don;Chợ Đồn;0;0
bac-kan;district-na-ri;Na Ri;Na Ri;0;0
bac-kan;district-ngan-son;Ngan Son;Ngân Sơn;0;0
bac-kan;district-pac-nam;Pac Nam;Pắc Nặm;0;0
bac-lieu;district-bac-lieu;Bac Lieu;Bạc Liêu;0;0
bac-lieu;district-bac-lieu-hoa-binh;Hoa Binh;Hòa Bình;0;0
bac-lieu;district-bac-lieu-phuoc-long;Phuoc Long;Phước Long;0;0
bac-lieu;district-dong-hai;Dong Hai;Đông Hải;0;0
bac-lieu;district-gia-rai;Gia Rai;Giá Rai;0;0
bac-lieu;district-hong-dan;Hong Dan;Hồng Dân;0;0
bac-lieu;district-vinh-loi;Vinh Loi;Vĩnh Lợi;0;0
bac-ninh;district-bac-ninh;Bac Ninh;Bắc Ninh;0;0
bac-ninh;district-gia-binh;Gia Binh;Gia Bình;0;0
bac-ninh;district-luong-tai;Luong Tai;Lương Tài;0;0
bac-ninh;district-que-vo;Que Vo;Quế Võ;0;0
bac-ninh;district-thuan-thanh;Thuan Thanh;Thuận Thành;0;0
bac-ninh;district-tien-du;Tien Du;Tiên Du;0;0
bac-ninh;district-tu-son;Tu Son;Từ Sơn;0;0
bac-ninh;district-yen-phong;Yen Phong;Yên Phong;0;0
ba-ria-vung-tau;district-ba-ria;Ba Ria;Bà Rịa;0;0
ba-ria-vung-tau;district-ba-ria-vung-tau-tan-thanh;Tan Thanh;Tân Thành;0;0
ba-ria-vung-tau;district-chau-duc;Chau Duc;Châu Đức;0;0
ba-ria-vung-tau;district-con-dao;Con Dao;Côn Đảo;0;0
ba-ria-vung-tau;district-dat-do;Dat Do;Đất Đỏ;0;0
ba-ria-vung-tau;district-long-dien;Long Dien;Long Điền;0;0
ba-ria-vung-tau;district-rach-dua;Rach Dua;Rạch Dừa;0;0
ba-ria-vung-tau;district-vung-tau;Vung Tau;Vũng Tàu;0;0
ba-ria-vung-tau;district-xuyen-loc;Xuyen Loc;Xuyên Mộc;0;0
ben-tre;district-ba-tri;Ba Tri;Ba Tri;0;0
ben-tre;district-ben-tre;Ben Tre;Bến Tre;0;0
ben-tre;district-ben-tre-chau-thanh;Chau Thanh;Châu Thành;0;0
ben-tre;district-binh-dai;Binh Dai;Bình Đại;0;0
ben-tre;district-cho-lach;Cho Lach;Chợ Lách;0;0
ben-tre;district-giong-trom;Giong Trom;Giông Trôm;0;0
ben-tre;district-mo-cay-bac;Mo Cay Bac;Mỏ Cày Bắc;0;0
ben-tre;district-mo-cay-nam;Mo Cay Nam;Mỏ Cày Nam;0;0
ben-tre;district-thanh-phu;Thanh Phu;Thạnh Phú;0;0
binh-dinh;district-an-nhon;An Nhon;An Nhơn;0;0
binh-dinh;district-binh-dinh-an-lao;An Lao;An Lão;0;0
binh-dinh;district-binh-dinh-vinh-thanh;Vinh Thanh;Vĩnh Thạnh;0;0
binh-dinh;district-hoai-an;Hoai An;Hoài Ân;0;0
binh-dinh;district-hoai-nhon;Hoai Nhon;Hoài Nhơn;0;0
binh-dinh;district-phu-cat;Phu Cat;Phù Cát;0;0
binh-dinh;district-phu-my;Phu My;Phù Mỹ;0;0
binh-dinh;district-quy-nhon;Quy Nhon;Quy Nhơn;0;0
binh-dinh;district-tay-son;Tay Son;Tây Sơn;0;0
binh-dinh;district-tuy-phuoc;Tuy Phuoc;Tuy Phước;0;0
binh-dinh;district-van-canh;Van Canh;Vân Canh;0;0
binh-duong;district-bau-bang;Bau Bang;Bàu Bàng;0;0
binh-duong;district-ben-cat;Ben Cat;Bến Cát;0;0
binh-duong;district-binh-duong-tan-uyen;Tan Uyen;Tân Uyên;0;0
binh-duong;district-dau-tieng;Dau Tieng;Dầu Tiếng;0;0
binh-duong;district-di-an;Di An;Dĩ An;0;0
binh-duong;district-phu-giao;Phu Giao;Phú Giáo;0;0
binh-duong;district-thuan-an;Thuan An;Thuận An;0;0
binh-duong;district-thu-dau-mot;Thu Dau Mot;Thủ Dầu Một;0;0
binh-phuoc;district-binh-long;Binh Long;Bình Long;0;0
binh-phuoc;district-binh-phuoc-phuoc-long;Phuoc Long;Phước Long;0;0
binh-phuoc;district-bu-dang;Bu Dang;Bù Đăng;0;0
binh-phuoc;district-bu-dop;Bu Dop;Bù Đốp;0;0
binh-phuoc;district-bu-gia-map;Bu Gia Map;Bù Gia Mập;0;0
binh-phuoc;district-chon-thanh;Chon Thanh;Chơn Thành;0;0
binh-phuoc;district-dong-phu;Dong Phu;Đồng Phú;0;0
binh-phuoc;district-dong-xoai;Dong Xoai;Đồng Xoài;0;0
